serial,participant,trial,angle,is.correct,rt
501,4,340,120,1,1.886242988
502,4,343,80,1,0.872293173
503,4,344,120,1,0.878239522
504,4,348,120,1,1.199819706
505,4,353,80,1,0.990511223
506,4,356,120,1,1.22954452
507,4,358,40,1,1.106774264
508,4,360,120,1,1.456639536
509,4,362,80,1,1.407856576
510,4,375,160,1,2.403339378
511,4,378,40,1,0.92703634
512,4,381,0,1,0.966549327
513,4,385,0,1,1.076951353
514,4,387,160,1,2.195983352
515,4,388,40,1,1.024880506
516,4,390,160,1,1.82156505
517,4,395,0,1,1.19771664
518,4,413,80,1,0.993933674
519,4,414,160,1,1.394195582
520,4,416,120,1,1.064534257
521,4,417,0,1,0.773135822
522,4,424,80,1,0.967970456
523,4,430,0,1,0.738918972
524,4,431,40,1,0.833355274
525,4,437,160,1,1.424436043
526,4,438,80,1,0.923911097
527,4,439,160,1,1.35901855
528,4,441,160,1,1.875037698
529,4,444,80,1,0.958324141
530,4,445,0,1,0.701150943
531,4,447,120,1,1.724342651
532,4,462,40,1,1.062054849
533,4,468,40,1,0.843706137
534,4,471,80,1,1.244113184
535,4,472,120,1,1.259058919
536,4,476,40,1,1.094215311
537,4,492,120,1,2.258555306
538,4,494,80,1,1.448025609
539,4,499,80,1,1.025220381
540,4,500,40,1,0.894204881
541,4,502,40,1,1.034626741
542,4,513,80,1,1.495126335
543,4,516,40,1,0.859936977
544,4,524,80,1,0.952817952
545,4,532,80,1,1.119313161
546,4,540,120,1,1.475743266
547,4,545,40,1,0.986723735
548,4,550,160,1,1.854652509
549,4,554,40,1,1.048796453
550,4,558,120,1,1.276184666
551,4,560,160,1,2.396271297
552,4,564,40,1,0.88281689
553,4,566,120,1,1.411472303
554,4,568,0,1,0.666702891
555,4,571,160,1,1.99924294
556,4,572,40,1,0.890196766
557,5,4,160,1,1.587568609
558,5,7,120,1,1.010203535
559,5,10,160,1,1.717132347
560,5,12,80,1,1.875423157
561,5,13,160,1,2.37914081
562,5,15,40,1,1.613466915
563,5,22,80,1,1.18476384
564,5,23,160,1,1.935175099
565,5,32,80,1,2.42519675
566,5,39,80,1,1.905605271
567,5,43,80,1,2.791027016
568,5,45,120,1,2.555759691
569,5,57,160,1,2.895636585
570,5,64,80,1,1.522790386
571,5,66,40,1,1.193559374
572,5,75,40,1,1.359589627
573,5,76,80,1,2.309470142
574,5,79,120,1,0.98178133
575,5,82,160,1,2.278099561
576,5,95,0,1,1.61925062
577,5,96,40,1,1.272265531
578,5,115,0,1,0.842272245
579,5,121,160,1,1.508546281
580,5,122,80,1,1.496314803
581,5,123,120,1,1.684243635
582,5,126,80,1,2.249325447
583,5,133,160,1,3.227022811
584,5,135,120,1,2.579391559
585,5,136,40,1,0.918589432
586,5,140,120,1,0.961339252
587,5,144,40,1,0.919882196
588,5,146,40,1,1.127890257
589,5,148,40,1,0.972240405
590,5,154,0,1,0.669038618
591,5,162,0,1,0.954896584
592,5,165,120,1,1.399946831
593,5,166,40,1,0.965036301
594,5,170,0,1,0.88273885
595,5,175,0,1,0.912509614
596,5,186,80,1,1.160610491
597,5,188,160,1,1.615588944
598,5,193,80,1,0.877492308
599,5,197,120,1,1.793823324
600,5,198,40,1,0.778172677
601,5,200,80,1,1.489289388
602,5,202,80,1,1.202133553
603,5,203,40,1,0.610000704
604,5,212,120,1,1.344314228
605,5,215,80,1,1.375958314
606,5,218,40,1,0.902619697
607,5,219,40,1,0.74961992
608,5,223,160,1,1.774447184
609,5,225,80,1,1.017956471
610,5,226,80,1,1.051300294
611,5,228,40,1,0.736760841
612,5,232,40,1,0.998375749
613,5,239,120,1,1.495648546
614,5,243,120,1,2.84760412
615,5,246,0,1,0.730284988
616,5,256,120,1,1.509282919
617,5,266,160,1,1.194173483
618,5,276,120,1,1.487790949
619,5,279,160,1,1.769938374
620,5,284,40,1,1.165244383
621,5,286,160,1,1.911527186
622,5,293,120,1,0.979326355
623,5,299,160,1,2.449034657
624,5,301,80,1,0.936299749
625,5,308,160,1,1.168000578
626,5,310,80,1,1.020948608
627,5,313,120,1,1.223875688
628,5,318,120,1,2.775095572
629,5,320,160,1,1.886343273
630,5,325,80,1,1.812793584
631,5,327,80,1,1.993160933
632,5,328,40,1,0.945508822
633,5,329,120,1,1.475719927
634,5,330,80,1,1.579758054
635,5,331,80,1,1.098698594
636,5,336,40,1,0.847778798
637,5,339,80,1,2.362220374
638,5,346,120,1,0.863609958
639,5,350,120,1,2.999004444
640,5,351,80,1,1.358503997
641,5,355,80,1,1.129713619
642,5,356,40,1,0.943721562
643,5,358,0,1,0.887512048
644,5,361,120,1,1.024261657
645,5,365,120,1,1.410411106
646,5,366,160,1,1.152784985
647,5,369,40,1,1.325366578
648,5,370,40,1,0.787256668
649,5,372,80,1,1.091759971
650,5,377,0,1,0.771771218
651,5,385,120,1,0.97715619
652,5,387,80,1,0.914605021
653,5,393,80,1,1.07766757
654,5,394,40,1,1.444464947
655,5,399,40,1,0.873811305
656,5,400,160,1,2.13991059
657,5,411,160,1,1.614095975
658,5,416,80,1,0.830797097
659,5,421,0,1,0.674214778
660,5,422,80,1,1.132999318
661,5,433,160,1,1.526585167
662,5,436,0,1,0.77449058
663,5,440,120,1,1.597767767
664,5,445,40,1,1.141215752
665,5,448,160,1,2.193351511
666,5,454,40,1,0.852105272
667,5,456,80,1,0.902270706
668,5,463,160,1,1.327295695
669,5,465,120,1,1.106221786
670,5,467,120,1,0.890762009
671,5,471,160,1,1.527430113
672,5,472,160,1,1.142798066
673,5,477,40,1,0.794470253
674,5,478,0,1,0.660958571
675,5,482,120,1,1.177530562
676,5,490,40,1,0.807498905
677,5,494,0,1,1.102438309
678,5,505,40,1,0.787986377
679,5,507,40,1,1.021226488
680,5,509,40,1,0.807558711
681,5,511,0,1,0.710888061
682,5,514,160,1,1.11406516
683,5,515,160,1,1.342024815
684,5,525,80,1,0.88518325
685,5,537,120,1,0.926377377
686,5,551,40,1,0.831809063
687,5,556,160,1,1.263918544
688,5,558,120,1,2.084432973
689,5,559,40,1,1.017571376
690,5,561,120,1,1.708398807
